Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_flag,perf_rating_s,job_involve_s,job_sat_s,env_sat_s,rel_sat_s,Performance_Score,years_in_role_s,train_last_year_s,Efficiency_Score,worklife_s,Mentor_Feedback_Score,monthly_income_s,Engagement_Score,Composite_Score,Composite_Rank
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,1,0.0,66.66666666666667,100.0,33.333333333333336,0.0,31.67,22.22222222222222,0.0,13.33,0.0,15.0,26.24539231174302,53.83,28.82,1285
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,0,100.0,33.333333333333336,33.333333333333336,66.66666666666667,100.0,73.33,38.888888888888886,50.0,43.33,66.66666666666667,78.33,21.700895208004212,25.35,60.89,100
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,1,0.0,33.333333333333336,66.66666666666667,100.0,33.333333333333336,30.0,0.0,50.0,20.0,66.66666666666667,70.0,5.6924697209057395,28.94,33.84,1057
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,1,0.0,66.66666666666667,66.66666666666667,100.0,66.66666666666667,40.0,38.888888888888886,50.0,43.33,66.66666666666667,81.67,10.005265929436545,47.34,48.02,338
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,0,0.0,66.66666666666667,33.333333333333336,0.0,100.0,28.33,11.11111111111111,50.0,26.67,66.66666666666667,48.33,12.948920484465509,38.51,32.53,1122
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,0,0.0,66.66666666666667,100.0,100.0,66.66666666666667,45.0,38.888888888888886,33.333333333333336,36.67,33.333333333333336,75.0,10.842548709847287,37.67,46.73,385
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,1,100.0,100.0,0.0,66.66666666666667,0.0,71.67,0.0,50.0,20.0,33.333333333333336,36.67,8.746708794102158,63.5,54.86,180
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0,100.0,66.66666666666667,66.66666666666667,100.0,33.333333333333336,81.67,0.0,33.333333333333336,13.33,66.66666666666667,70.0,8.867825171142707,36.88,59.53,120
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,0,100.0,33.333333333333336,66.66666666666667,100.0,33.333333333333336,75.0,38.888888888888886,33.333333333333336,36.67,66.66666666666667,70.0,44.84992101105845,34.61,60.52,104
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,0,0.0,66.66666666666667,66.66666666666667,66.66666666666667,33.333333333333336,33.33,38.888888888888886,50.0,43.33,33.333333333333336,48.33,22.264349657714586,42.24,38.92,794
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,0,0.0,100.0,33.333333333333336,0.0,66.66666666666667,31.67,22.22222222222222,83.33333333333333,46.67,66.66666666666667,36.67,7.461822011585045,52.98,38.61,817
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,1,0.0,33.333333333333336,66.66666666666667,100.0,100.0,36.67,27.77777777777778,50.0,36.67,66.66666666666667,93.33,16.76671932596103,33.37,44.67,466
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,0,0.0,66.66666666666667,66.66666666666667,0.0,100.0,33.33,11.11111111111111,16.666666666666668,13.33,33.333333333333336,41.67,10.015797788309637,37.34,31.18,1187
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,0,0.0,66.66666666666667,100.0,33.333333333333336,66.66666666666667,38.33,11.11111111111111,33.333333333333336,20.0,66.66666666666667,51.67,8.699315429173248,36.81,36.44,932
